name,KO,genome,sign,protein,E-value
nifH,K02588,GCF_000427445.1,*,WP_026607455.1,2.30E-143
nifB,K02585,GCF_000427445.1,*,WP_245257565.1,8.30E-214
nifE,K02587,GCF_000427465.1,*,WP_028002400.1,2.40E-240
nifK,K02591,GCF_000427465.1,*,WP_028002401.1,1.60E-191
nifD,K02586,GCF_000427465.1,*,WP_028002402.1,2.00E-214
nifH,K02588,GCF_000427465.1,*,WP_028002403.1,9.30E-146
nifB,K02585,GCF_000427465.1,*,WP_028002420.1,1.80E-202
nifK,K02591,GCF_000427625.1,*,WP_027158572.1,7.30E-187
nifD,K02586,GCF_000427625.1,*,WP_027158573.1,1.40E-215
nifH,K02588,GCF_000427625.1,*,WP_027158574.1,2.60E-150
nifB,K02585,GCF_000427625.1,*,WP_027159369.1,3.80E-209
nifN,K02592,GCF_000427625.1,*,WP_027159439.1,4.00E-185
nifE,K02587,GCF_000427625.1,*,WP_027159440.1,1.70E-230
nifN,K02592,GCF_000428125.1,*,WP_024995541.1,2.30E-171
nifE,K02587,GCF_000428125.1,*,WP_024995542.1,1.50E-178
nifK,K02591,GCF_000428125.1,*,WP_024995543.1,5.60E-159
nifD,K02586,GCF_000428125.1,*,WP_024995544.1,7.30E-192
nifH,K02588,GCF_000428125.1,*,WP_024995546.1,2.00E-149
nifB,K02585,GCF_000428125.1,*,WP_034782505.1,1.50E-160
nifB,K02585,GCF_000428825.1,*,WP_028577393.1,4.00E-167
nifN,K02592,GCF_000428825.1,*,WP_028577394.1,7.60E-180
nifE,K02587,GCF_000428825.1,*,WP_028577395.1,2.40E-175
nifK,K02591,GCF_000428825.1,*,WP_028577398.1,3.50E-176
nifD,K02586,GCF_000428825.1,*,WP_028577399.1,8.70E-198
nifH,K02588,GCF_000428825.1,*,WP_028577402.1,5.80E-146
nifB,K02585,GCF_000428985.1,*,WP_027854770.1,1.20E-210
nifH,K02588,GCF_000428985.1,*,WP_027854782.1,4.10E-153
nifD,K02586,GCF_000428985.1,*,WP_027854783.1,8.30E-216
nifK,K02591,GCF_000428985.1,*,WP_027854784.1,1.80E-187
nifE,K02587,GCF_000428985.1,*,WP_027854797.1,3.30E-232
nifN,K02592,GCF_000428985.1,*,WP_027854798.1,3.30E-180
nifK,K02591,GCF_000429305.1,*,WP_027183852.1,3.30E-178
nifH,K02588,GCF_000429305.1,*,WP_027183856.1,3.60E-146
nifE,K02587,GCF_000429305.1,*,WP_027185449.1,1.90E-177
nifB,K02585,GCF_000429305.1,*,WP_027185451.1,3.10E-163
nifD,K02586,GCF_000429305.1,*,WP_051261289.1,1.50E-195
nifN,K02592,GCF_000429305.1,*,WP_084448656.1,1.60E-178
nifB,K02585,GCF_000429325.1,*,WP_027191092.1,2.50E-169
nifE,K02587,GCF_000429325.1,*,WP_027191094.1,4.00E-178
nifK,K02591,GCF_000429325.1,*,WP_027191101.1,3.80E-167
nifH,K02588,GCF_000429325.1,*,WP_027191105.1,1.80E-146
nifH,K02588,GCF_000429325.1,*,WP_027192250.1,1.60E-145
nifK,K02591,GCF_000429325.1,*,WP_027192254.1,9.00E-172
nifE,K02587,GCF_000429325.1,*,WP_027192255.1,1.30E-160
nifN,K02592,GCF_000429325.1,*,WP_027192256.1,5.50E-158
nifN,K02592,GCF_000429325.1,*,WP_084502245.1,3.40E-174
nifD,K02586,GCF_000429325.1,*,WP_084502248.1,1.10E-197
nifD,K02586,GCF_000429325.1,*,WP_205620086.1,4.70E-183
nifH,K02588,GCF_000429345.1,*,WP_027718989.1,6.60E-141
nifK,K02591,GCF_000429345.1,*,WP_027718992.1,2.10E-152
nifB,K02585,GCF_000429345.1,*,WP_027718994.1,4.10E-124
nifH,K02588,GCF_000429485.1,*,WP_026958341.1,1.70E-150
nifD,K02586,GCF_000429485.1,*,WP_026971405.1,1.10E-206
nifK,K02591,GCF_000429485.1,*,WP_026971406.1,8.60E-178
nifN,K02592,GCF_000429485.1,*,WP_026971412.1,2.70E-150
nifE,K02587,GCF_000429485.1,*,WP_051333441.1,8.30E-216
nifB,K02585,GCF_000429485.1,*,WP_051333446.1,2.10E-165
nifN,K02592,GCF_000429505.1,*,WP_026958334.1,1.00E-150
nifK,K02591,GCF_000429505.1,*,WP_026958339.1,1.70E-177
nifD,K02586,GCF_000429505.1,*,WP_026958340.1,4.30E-207
nifH,K02588,GCF_000429505.1,*,WP_026958341.1,1.50E-150
nifE,K02587,GCF_000429505.1,*,WP_051326586.1,1.10E-214
nifB,K02585,GCF_000429505.1,*,WP_084404961.1,2.00E-165
nifN,K02592,GCF_000429605.1,*,WP_028996111.1,1.80E-189
nifE,K02587,GCF_000429605.1,*,WP_028996115.1,3.80E-228
nifB,K02585,GCF_000429605.1,*,WP_028996153.1,9.90E-203
nifH,K02588,GCF_000429605.1,*,WP_028996168.1,2.20E-152
nifD,K02586,GCF_000429605.1,*,WP_028996169.1,6.10E-211
nifK,K02591,GCF_000429605.1,*,WP_028996170.1,8.40E-177
nifN,K02592,GCF_000429625.1,*,WP_029011017.1,9.20E-184
nifE,K02587,GCF_000429625.1,*,WP_029011018.1,1.70E-238
nifK,K02591,GCF_000429625.1,*,WP_029011023.1,1.30E-188
nifD,K02586,GCF_000429625.1,*,WP_029011024.1,1.80E-214
nifH,K02588,GCF_000429625.1,*,WP_029011025.1,9.70E-150
nifB,K02585,GCF_000429625.1,*,WP_035693708.1,2.80E-210
nifH,K02588,GCF_000429645.1,*,WP_029011733.1,3.40E-147
nifD,K02586,GCF_000429645.1,*,WP_029011734.1,6.90E-219
nifK,K02591,GCF_000429645.1,*,WP_029011735.1,3.30E-193
nifN,K02592,GCF_000429645.1,*,WP_029011736.1,1.40E-198
nifE,K02587,GCF_000429645.1,*,WP_035705085.1,7.10E-252
nifB,K02585,GCF_000429645.1,*,WP_245579972.1,2.70E-219
nifN,K02592,GCF_000429665.1,*,WP_026687652.1,7.00E-194
nifE,K02587,GCF_000429665.1,*,WP_026687653.1,7.00E-232
nifK,K02591,GCF_000429665.1,*,WP_026687659.1,2.20E-177
nifD,K02586,GCF_000429665.1,*,WP_026687660.1,2.10E-209
nifH,K02588,GCF_000429665.1,*,WP_026687661.1,3.80E-153
nifB,K02585,GCF_000429665.1,*,WP_026687672.1,2.20E-206
nifH,K02588,GCF_000429945.1,*,WP_028579019.1,3.00E-144
nifB,K02585,GCF_000429945.1,*,WP_028581508.1,3.20E-160
nifN,K02592,GCF_000429945.1,*,WP_028581509.1,4.80E-181
nifE,K02587,GCF_000429945.1,*,WP_028581510.1,3.50E-175
nifB,K02585,GCF_000429965.1,*,WP_028585301.1,4.20E-160
nifN,K02592,GCF_000429965.1,*,WP_028585302.1,3.70E-181
nifE,K02587,GCF_000429965.1,*,WP_028585303.1,7.80E-173
nifK,K02591,GCF_000429965.1,*,WP_028585309.1,8.40E-171
nifD,K02586,GCF_000429965.1,*,WP_028585310.1,7.80E-193
nifH,K02588,GCF_000429965.1,*,WP_028585313.1,7.70E-141
nifB,K02585,GCF_000429985.1,*,WP_027177782.1,1.70E-168
nifN,K02592,GCF_000429985.1,*,WP_027177783.1,6.70E-186
nifE,K02587,GCF_000429985.1,*,WP_027177784.1,2.30E-177
nifK,K02591,GCF_000429985.1,*,WP_027177788.1,1.80E-169
nifH,K02588,GCF_000429985.1,*,WP_027177792.1,3.40E-143
nifB,K02585,GCF_000429985.1,*,WP_051294766.1,6.60E-69
nifD,K02586,GCF_000429985.1,*,WP_156900574.1,7.80E-196
nifH,K02588,GCF_000430605.1,*,WP_018701495.1,2.40E-148
nifD,K02586,GCF_000430605.1,*,WP_027936784.1,3.40E-201
nifK,K02591,GCF_000430605.1,*,WP_027936785.1,1.90E-171
nifE,K02587,GCF_000430605.1,*,WP_027936786.1,1.80E-170
nifN,K02592,GCF_000430605.1,*,WP_027936787.1,2.80E-167
nifB,K02585,GCF_000430605.1,*,WP_027936788.1,1.20E-169
nifB,K02585,GCF_000430605.1,*,WP_051296564.1,1.50E-117
nifH,K02588,GCF_000430605.1,*,WP_210162491.1,4.80E-135
nifN,K02592,GCF_000430625.1,*,WP_027417117.1,1.90E-159
nifE,K02587,GCF_000430625.1,*,WP_027417118.1,3.70E-202
nifK,K02591,GCF_000430625.1,*,WP_027417119.1,6.30E-184
nifD,K02586,GCF_000430625.1,*,WP_027417120.1,5.50E-208
nifH,K02588,GCF_000430625.1,*,WP_027417121.1,4.20E-148
nifB,K02585,GCF_000430625.1,*,WP_051331116.1,9.50E-196
nifB,K02585,GCF_000430725.1,*,WP_029001224.1,1.60E-213
nifH,K02588,GCF_000430725.1,*,WP_029001236.1,4.90E-147
nifD,K02586,GCF_000430725.1,*,WP_029001237.1,1.80E-214
nifK,K02591,GCF_000430725.1,*,WP_029001238.1,8.90E-184
nifE,K02587,GCF_000430725.1,*,WP_029001241.1,4.90E-247
nifN,K02592,GCF_000430725.1,*,WP_043461089.1,2.80E-192
nifH,K02588,GCF_000430885.1,*,WP_027364898.1,8.20E-151
nifD,K02586,GCF_000430885.1,*,WP_027364901.1,3.50E-198
nifK,K02591,GCF_000430885.1,*,WP_027364902.1,2.20E-175
nifE,K02587,GCF_000430885.1,*,WP_027364903.1,4.80E-178
nifN,K02592,GCF_000430885.1,*,WP_027364904.1,2.90E-164
nifB,K02585,GCF_000430885.1,*,WP_034630219.1,1.70E-139
nifH,K02588,GCF_000430905.1,*,WP_042696664.1,5.00E-134
nifB,K02585,GCF_000430905.1,*,WP_042697398.1,8.70E-145
nifB,K02585,GCF_000445445.1,*,WP_021167793.1,5.70E-167
nifN,K02592,GCF_000445445.1,*,WP_021167794.1,2.00E-163
nifE,K02587,GCF_000445445.1,*,WP_021167795.1,9.60E-174
nifK,K02591,GCF_000445445.1,*,WP_021167796.1,3.90E-173
nifD,K02586,GCF_000445445.1,*,WP_021167797.1,7.90E-200
nifH,K02588,GCF_000445445.1,*,WP_021167800.1,1.50E-144
nifB,K02585,GCF_000445445.1,*,WP_021167801.1,3.00E-158
nifB,K02585,GCF_000445445.1,*,WP_021169885.1,2.20E-125
nifH,K02588,GCF_000445445.1,*,WP_021170415.1,5.20E-132
nifH,K02588,GCF_000455225.1,*,WP_044505200.1,6.90E-121
nifH,K02588,GCF_000455225.1,*,WP_044505209.1,1.20E-120
nifH,K02588,GCF_000455265.1,*,WP_044480710.1,1.40E-126
nifE,K02587,GCF_000455265.1,*,WP_044481474.1,6.50E-200
nifK,K02591,GCF_000455265.1,*,WP_044481475.1,2.20E-177
nifD,K02586,GCF_000455265.1,*,WP_044481476.1,1.30E-202
nifH,K02588,GCF_000455265.1,*,WP_044481478.1,6.90E-147
nifB,K02585,GCF_000455265.1,*,WP_044481479.1,6.40E-178
nifN,K02592,GCF_000455265.1,*,WP_049895091.1,2.40E-157
nifH,K02588,GCF_000455485.1,*,WP_040951851.1,1.50E-146
nifK,K02591,GCF_000455485.1,*,WP_040951852.1,2.70E-179
nifN,K02592,GCF_000455485.1,*,WP_040951853.1,7.00E-148
nifD,K02586,GCF_000455485.1,*,WP_040951858.1,2.00E-177
nifK,K02591,GCF_000455485.1,*,WP_040951859.1,2.00E-153
nifH,K02588,GCF_000455485.1,*,WP_040952450.1,5.40E-136
nifB,K02585,GCF_000455485.1,*,WP_052339857.1,1.30E-117
nifB,K02585,GCF_000455485.1,*,WP_081757002.1,1.40E-164
anfG,K00531,GCF_000455485.1,*,WP_081757005.1,2.00E-57
nifE,K02587,GCF_000455485.1,*,WP_238323068.1,2.60E-204
nifH,K02588,GCF_000455485.1,*,WP_238323069.1,2.40E-141
nifE,K02587,GCF_000468495.1,*,WP_021759915.1,7.20E-173
nifB,K02585,GCF_000468495.1,*,WP_021759917.1,1.10E-125
nifK,K02591,GCF_000468495.1,*,WP_021759918.1,7.50E-168
nifD,K02586,GCF_000468495.1,*,WP_021759919.1,2.10E-194
nifH,K02588,GCF_000468495.1,*,WP_021759922.1,2.60E-147
nifN,K02592,GCF_000468495.1,*,WP_027193146.1,1.00E-177
nifB,K02585,GCF_000468495.1,*,WP_202961837.1,8.80E-171
nifE,K02587,GCF_000469585.1,*,WP_027390496.1,4.00E-187
nifK,K02591,GCF_000469585.1,*,WP_027390769.1,3.20E-178
nifD,K02586,GCF_000469585.1,*,WP_027390770.1,6.30E-191
nifH,K02588,GCF_000469585.1,*,WP_027390771.1,1.40E-149
nifB,K02585,GCF_000469585.1,*,WP_051321438.1,2.90E-134
nifB,K02585,GCF_000472525.1,*,WP_027802835.1,4.10E-209
nifH,K02588,GCF_000472525.1,*,WP_027802855.1,1.40E-145
nifD,K02586,GCF_000472525.1,*,WP_027802856.1,1.30E-207
nifK,K02591,GCF_000472525.1,*,WP_027802857.1,3.50E-184
nifE,K02587,GCF_000472525.1,*,WP_027802858.1,3.40E-242
nifN,K02592,GCF_000472525.1,*,WP_027802859.1,9.90E-193
nifH,K02588,GCF_000472665.1,*,WP_026395011.1,1.60E-146
nifD,K02586,GCF_000472665.1,*,WP_026395014.1,1.10E-196
nifK,K02591,GCF_000472665.1,*,WP_026395015.1,1.30E-170
nifE,K02587,GCF_000472665.1,*,WP_026395016.1,1.20E-182
nifB,K02585,GCF_000472665.1,*,WP_207637754.1,2.40E-166
nifN,K02592,GCF_000472665.1,*,WP_207637754.1,3.20E-157
nifN,K02592,GCF_000472825.1,*,WP_028214800.1,1.70E-187
nifH,K02588,GCF_000472825.1,*,WP_028215377.1,1.30E-145
nifD,K02586,GCF_000472825.1,*,WP_028215378.1,2.50E-209
nifK,K02591,GCF_000472825.1,*,WP_028215379.1,5.80E-183
nifB,K02585,GCF_000472825.1,*,WP_042291070.1,3.00E-201
nifE,K02587,GCF_000472825.1,*,WP_081716234.1,2.40E-240
nifD,K02586,GCF_000472965.1,*,WP_028350531.1,1.40E-216
nifK,K02591,GCF_000472965.1,*,WP_028350532.1,2.50E-194
nifE,K02587,GCF_000472965.1,*,WP_028350533.1,1.10E-255
nifN,K02592,GCF_000472965.1,*,WP_028350534.1,4.30E-198
nifH,K02588,GCF_000472965.1,*,WP_028350602.1,1.20E-146
nifB,K02585,GCF_000472965.1,*,WP_051379717.1,2.80E-216
nifN,K02592,GCF_000473085.1,*,WP_029004366.1,2.80E-199
nifE,K02587,GCF_000473085.1,*,WP_029004367.1,6.30E-262
nifK,K02591,GCF_000473085.1,*,WP_029004368.1,1.00E-192
nifD,K02586,GCF_000473085.1,*,WP_029004369.1,8.80E-218
nifH,K02588,GCF_000473085.1,*,WP_029005725.1,2.10E-140
nifB,K02585,GCF_000473085.1,*,WP_029005757.1,5.30E-219
nifH,K02588,GCF_000478195.2,*,WP_023065299.1,5.40E-147
nifB,K02585,GCF_000478195.2,*,WP_023065310.1,1.30E-211
nifD,K02586,GCF_000478195.2,*,WP_023065312.1,2.00E-209
nifE,K02587,GCF_000478195.2,*,WP_023065319.1,1.30E-240
nifN,K02592,GCF_000478195.2,*,WP_023065321.1,4.10E-184
nifK,K02591,GCF_000478195.2,*,WP_023065341.1,5.20E-192
nifK,K02591,GCF_000482785.1,*,WP_028310374.1,2.40E-184
nifD,K02586,GCF_000482785.1,*,WP_028310375.1,1.50E-216
nifH,K02588,GCF_000482785.1,*,WP_028310376.1,1.50E-146
nifB,K02585,GCF_000482785.1,*,WP_028310397.1,6.10E-213
nifK,K02591,GCF_000482785.1,*,WP_028312727.1,3.30E-183
nifE,K02587,GCF_000482785.1,*,WP_051377967.1,1.90E-249
nifN,K02592,GCF_000482785.1,*,WP_084544719.1,4.80E-193
nifB,K02585,GCF_000482825.1,*,WP_012545348.1,3.00E-131
nifK,K02591,GCF_000482825.1,*,WP_012545394.1,6.10E-187
nifH,K02588,GCF_000482825.1,*,WP_012546613.1,1.50E-148
nifE,K02587,GCF_000482825.1,*,WP_012546796.1,5.90E-210
nifD,K02586,GCF_000482825.1,*,WP_028842532.1,8.90E-201
nifH,K02588,GCF_000495435.3,*,WP_023388904.1,3.70E-152
nifD,K02586,GCF_000495435.3,*,WP_023388907.1,3.10E-190
nifK,K02591,GCF_000495435.3,*,WP_023388908.1,1.30E-158
nifE,K02587,GCF_000495435.3,*,WP_023388909.1,3.00E-172
nifB,K02585,GCF_000495435.3,*,WP_023388910.1,3.10E-163
nifN,K02592,GCF_000495435.3,*,WP_023388910.1,5.60E-149
nifB,K02585,GCF_000496735.2,*,WP_023493509.1,6.40E-217
nifH,K02588,GCF_000496735.2,*,WP_023493535.1,1.10E-147
nifD,K02586,GCF_000496735.2,*,WP_023493536.1,3.30E-216
nifK,K02591,GCF_000496735.2,*,WP_023493537.1,1.40E-193
nifE,K02587,GCF_000496735.2,*,WP_023493538.1,5.10E-261
nifN,K02592,GCF_000496735.2,*,WP_023493539.1,4.00E-197
nifH,K02588,GCF_000504205.1,*,WP_023844067.1,1.80E-163
nifB,K02585,GCF_000504205.1,*,WP_023844336.1,1.10E-146
nifN,K02592,GCF_000504205.1,*,WP_023845582.1,8.90E-168
nifE,K02587,GCF_000504205.1,*,WP_023845583.1,3.40E-185
nifK,K02591,GCF_000504205.1,*,WP_023845584.1,3.60E-161
nifD,K02586,GCF_000504205.1,*,WP_023845585.1,1.60E-203
nifH,K02588,GCF_000504205.1,*,WP_023845588.1,6.40E-148
nifH,K02588,GCF_000504205.1,*,WP_048135449.1,1.50E-116
nifK,K02591,GCF_000504305.1,*,WP_035063888.1,5.70E-155
nifD,K02586,GCF_000504305.1,*,WP_035063889.1,6.90E-174
nifH,K02588,GCF_000504305.1,*,WP_035063892.1,5.60E-140
nifH,K02588,GCF_000504305.1,*,WP_035068233.1,7.80E-144
nifD,K02586,GCF_000504305.1,*,WP_035068236.1,4.60E-198
nifK,K02591,GCF_000504305.1,*,WP_035068237.1,9.30E-176
nifB,K02585,GCF_000504305.1,*,WP_035068238.1,1.70E-84
nifE,K02587,GCF_000504305.1,*,WP_035068240.1,7.30E-177
nifB,K02585,GCF_000504305.1,*,WP_035068241.1,1.90E-173
nifB,K02585,GCF_000504305.1,*,WP_035068899.1,1.20E-125
nifB,K02585,GCF_000504305.1,*,WP_051384247.1,2.20E-156
anfG,K00531,GCF_000504305.1,*,WP_245590671.1,6.00E-60
nifN,K02592,GCF_000504305.1,*,WP_245590854.1,4.10E-191
nifH,K02588,GCF_000510645.1,*,WP_028986272.1,4.20E-148
nifD,K02586,GCF_000510645.1,*,WP_028986273.1,1.00E-210
nifK,K02591,GCF_000510645.1,*,WP_028986274.1,2.80E-185
nifE,K02587,GCF_000510645.1,*,WP_028986275.1,4.00E-213
nifN,K02592,GCF_000510645.1,*,WP_028986276.1,2.60E-164
nifB,K02585,GCF_000510645.1,*,WP_039944184.1,3.50E-187
nifE,K02587,GCF_000513295.1,*,WP_024078565.1,1.90E-237
nifN,K02592,GCF_000513295.1,*,WP_024078566.1,3.20E-186
nifK,K02591,GCF_000513295.1,*,WP_024078600.1,1.10E-185
nifD,K02586,GCF_000513295.1,*,WP_024078601.1,2.50E-211
nifB,K02585,GCF_000513295.1,*,WP_024078613.1,4.60E-201
nifH,K02588,GCF_000513295.1,*,WP_041633387.1,3.20E-143
nifE,K02587,GCF_000515255.1,*,WP_027289750.1,8.00E-203
nifH,K02588,GCF_000515255.1,*,WP_027289758.1,7.50E-146
nifD,K02586,GCF_000515255.1,*,WP_027289759.1,8.60E-206
nifK,K02591,GCF_000515255.1,*,WP_027289760.1,2.90E-185
nifN,K02592,GCF_000515255.1,*,WP_051432298.1,2.70E-159
nifB,K02585,GCF_000515255.1,*,WP_051432302.1,8.00E-178
nifH,K02588,GCF_000517065.1,*,WP_026474998.1,2.40E-148
nifD,K02586,GCF_000517065.1,*,WP_026475001.1,1.80E-186
nifK,K02591,GCF_000517065.1,*,WP_026475002.1,3.10E-161
nifE,K02587,GCF_000517065.1,*,WP_026475012.1,3.30E-174
nifN,K02592,GCF_000517065.1,*,WP_026475013.1,1.30E-169
nifB,K02585,GCF_000517065.1,*,WP_026475014.1,7.40E-164
nifB,K02585,GCF_000517085.1,*,WP_027473402.1,1.50E-157
nifE,K02587,GCF_000517085.1,*,WP_027473404.1,9.50E-180
nifK,K02591,GCF_000517085.1,*,WP_027473405.1,1.60E-166
nifD,K02586,GCF_000517085.1,*,WP_027473406.1,6.40E-191
nifH,K02588,GCF_000517085.1,*,WP_027473409.1,3.60E-148
nifN,K02592,GCF_000517085.1,*,WP_044262971.1,4.30E-168
nifH,K02588,GCF_000518645.1,*,WP_019572771.1,1.90E-146
nifD,K02586,GCF_000518645.1,*,WP_019572772.1,4.50E-215
nifB,K02585,GCF_000518645.1,*,WP_027475046.1,8.10E-214
nifK,K02591,GCF_000518645.1,*,WP_027475057.1,1.90E-183
nifE,K02587,GCF_000518645.1,*,WP_027475063.1,2.80E-248
nifN,K02592,GCF_000518645.1,*,WP_027475064.1,2.30E-193
nifH,K02588,GCF_000518685.1,*,WP_026834826.1,3.10E-150
nifB,K02585,GCF_000518685.1,*,WP_026834828.1,1.30E-119
nifB,K02585,GCF_000518785.1,*,WP_028738181.1,4.90E-204
nifH,K02588,GCF_000518785.1,*,WP_028738197.1,5.70E-147
nifD,K02586,GCF_000518785.1,*,WP_028738198.1,1.10E-212
nifK,K02591,GCF_000518785.1,*,WP_028738199.1,1.40E-188
nifN,K02592,GCF_000518785.1,*,WP_028738200.1,2.00E-188
nifE,K02587,GCF_000518785.1,*,WP_084638620.1,2.40E-248
nifH,K02588,GCF_000519125.1,*,WP_028586614.1,1.10E-143
nifD,K02586,GCF_000519125.1,*,WP_028586617.1,7.90E-200
nifK,K02591,GCF_000519125.1,*,WP_028586618.1,5.90E-173
nifB,K02585,GCF_000519125.1,*,WP_028586619.1,8.90E-70
nifN,K02592,GCF_000519125.1,*,WP_028586622.1,5.60E-188
nifB,K02585,GCF_000519125.1,*,WP_051445016.1,3.60E-161
nifE,K02587,GCF_000519125.1,*,WP_084457811.1,4.50E-170
nifN,K02592,GCF_000519185.1,*,WP_028208630.1,1.60E-186
nifK,K02591,GCF_000519185.1,*,WP_028208877.1,4.00E-181
nifD,K02586,GCF_000519185.1,*,WP_028208878.1,9.10E-210
nifH,K02588,GCF_000519185.1,*,WP_028208879.1,7.00E-146
nifE,K02587,GCF_000519185.1,*,WP_051482048.1,1.70E-239
nifB,K02585,GCF_000519185.1,*,WP_081772060.1,4.60E-201
nifB,K02585,GCF_000519265.1,*,WP_028571551.1,5.20E-167
nifN,K02592,GCF_000519265.1,*,WP_028571552.1,2.80E-175
nifE,K02587,GCF_000519265.1,*,WP_028571553.1,1.50E-183
nifK,K02591,GCF_000519265.1,*,WP_028571555.1,4.60E-174
nifH,K02588,GCF_000519265.1,*,WP_028571559.1,1.30E-147
nifD,K02586,GCF_000519265.1,*,WP_211239021.1,7.50E-201
nifB,K02585,GCF_000520715.1,*,WP_025688010.1,1.20E-73
nifH,K02588,GCF_000520715.1,*,WP_025688322.1,2.10E-136
nifD,K02586,GCF_000520715.1,*,WP_025690364.1,8.00E-207
nifK,K02591,GCF_000520715.1,*,WP_025690366.1,2.90E-177
nifE,K02587,GCF_000520715.1,*,WP_025690367.1,2.20E-199
nifN,K02592,GCF_000520715.1,*,WP_025690368.1,7.40E-151
nifB,K02585,GCF_000520715.1,*,WP_025692938.1,6.20E-182
nifH,K02588,GCF_000520715.1,*,WP_025692941.1,2.20E-141
vnfG,K22898,GCF_000520715.1,*,WP_025692943.1,2.20E-47
nifK,K02591,GCF_000520715.1,*,WP_025692944.1,1.40E-149
nifB,K02585,GCF_000520715.1,*,WP_084654439.1,2.00E-70
anfG,K00531,GCF_000520735.1,*,WP_025696877.1,3.60E-57
nifD,K02586,GCF_000520735.1,*,WP_025696879.1,4.70E-179
nifH,K02588,GCF_000520735.1,*,WP_025696881.1,1.10E-140
nifE,K02587,GCF_000520735.1,*,WP_025696887.1,3.60E-154
nifB,K02585,GCF_000520735.1,*,WP_025696889.1,1.80E-175
nifD,K02586,GCF_000520735.1,*,WP_025697209.1,9.00E-207
nifK,K02591,GCF_000520735.1,*,WP_025697211.1,1.90E-176
nifE,K02587,GCF_000520735.1,*,WP_025697213.1,2.00E-199
nifN,K02592,GCF_000520735.1,*,WP_025697215.1,1.10E-149
nifH,K02588,GCF_000520735.1,*,WP_025697427.1,9.40E-137
nifB,K02585,GCF_000520735.1,*,WP_025699462.1,2.90E-173
nifB,K02585,GCF_000520735.1,*,WP_025700212.1,2.30E-186
nifH,K02588,GCF_000520735.1,*,WP_025702772.1,5.40E-127
nifK,K02591,GCF_000520735.1,*,WP_232101819.1,2.40E-152
nifN,K02592,GCF_000520815.1,*,WP_025683098.1,1.20E-158
nifE,K02587,GCF_000520815.1,*,WP_025683099.1,5.50E-197
nifK,K02591,GCF_000520815.1,*,WP_025683100.1,8.20E-179
nifD,K02586,GCF_000520815.1,*,WP_025683101.1,2.70E-204
nifH,K02588,GCF_000520815.1,*,WP_025683102.1,5.00E-144
nifB,K02585,GCF_000520815.1,*,WP_025683103.1,3.60E-184
nifH,K02588,GCF_000521465.1,*,WP_038287764.1,6.50E-151
nifB,K02585,GCF_000521465.1,*,WP_054847002.1,2.70E-120
nifH,K02588,GCF_000525775.1,*,WP_009643617.1,8.20E-118
nifK,K02591,GCF_000526155.1,*,WP_025323097.1,6.70E-170
nifD,K02586,GCF_000526155.1,*,WP_025323098.1,2.40E-197
nifB,K02585,GCF_000526155.1,*,WP_025323100.1,7.90E-162
nifE,K02587,GCF_000526155.1,*,WP_025323101.1,4.70E-170
nifH,K02588,GCF_000526155.1,*,WP_025323103.1,2.10E-145
nifB,K02585,GCF_000526495.1,*,WP_024831516.1,4.60E-161
nifN,K02592,GCF_000526495.1,*,WP_024831516.1,8.70E-152
nifE,K02587,GCF_000526495.1,*,WP_024831517.1,4.10E-182
nifK,K02591,GCF_000526495.1,*,WP_024831518.1,2.90E-168
nifD,K02586,GCF_000526495.1,*,WP_024831519.1,8.80E-193
nifH,K02588,GCF_000526495.1,*,WP_024831522.1,3.40E-149
nifK,K02591,GCF_000526495.1,*,WP_024834404.1,3.90E-133
nifH,K02588,GCF_000526495.1,*,WP_024834497.1,3.40E-149
nifH,K02588,GCF_000526495.1,*,WP_024834618.1,2.40E-136
nifB,K02585,GCF_000526495.1,*,WP_024834620.1,9.30E-118
nifH,K02588,GCF_000526995.1,*,WP_024291547.1,8.80E-130
nifH,K02588,GCF_000526995.1,*,WP_024291866.1,7.70E-123
nifH,K02588,GCF_000526995.1,*,WP_024294184.1,7.40E-126
nifB,K02585,GCF_000526995.1,*,WP_024294686.1,1.30E-121
nifH,K02588,GCF_000526995.1,*,WP_024294690.1,8.10E-148
nifB,K02585,GCF_000526995.1,*,WP_024296216.1,4.70E-163
nifN,K02592,GCF_000526995.1,*,WP_024296216.1,4.60E-156
nifE,K02587,GCF_000526995.1,*,WP_024296217.1,3.10E-171
nifK,K02591,GCF_000526995.1,*,WP_024296218.1,1.40E-155
nifD,K02586,GCF_000526995.1,*,WP_024296219.1,3.50E-190
nifH,K02588,GCF_000526995.1,*,WP_024296222.1,8.40E-147
nifB,K02585,GCF_000527035.1,*,WP_024872597.1,3.80E-189
nifH,K02588,GCF_000527035.1,*,WP_024872641.1,4.10E-149
nifD,K02586,GCF_000527035.1,*,WP_024872642.1,3.40E-210
nifK,K02591,GCF_000527035.1,*,WP_024872643.1,2.50E-189
nifE,K02587,GCF_000527035.1,*,WP_024872646.1,3.80E-223
nifN,K02592,GCF_000527035.1,*,WP_024872647.1,8.70E-179
nifH,K02588,GCF_000527035.1,*,WP_024873197.1,2.60E-150
nifN,K02592,GCF_000527035.1,*,WP_024873199.1,6.90E-149
nifE,K02587,GCF_000527035.1,*,WP_024873200.1,1.50E-191
vnfG,K22898,GCF_000527035.1,*,WP_024873203.1,5.40E-48
nifK,K02591,GCF_000527035.1,*,WP_024873204.1,5.00E-147
